"pid","assessed_value"
1,587789.910421121
2,69388.9659534032
3,50494.0168077487
4,106501.736119195
5,293069.580083958
6,223715.963315947
7,80569.7729851503
8,195312.755362134
9,121839.897671972
10,312403.419608738
11,216229.005462903
12,539348.857138063
13,360729.673705579
14,639057.407775928
15,57625.1780758481
16,257263.495952175
17,38768.5406656871
18,175408.003327471
19,124906.215497761
20,153698.515621308
21,157001.686517052
22,99734.4270203008
23,64327.9951490797
24,36446.6685476189
25,69495.5680767239
26,424941.866741242
27,105635.811363402
28,499105.303174413
29,299899.545115418
30,232779.526296061
31,634961.843439923
32,41306.9074970747
33,687132.388060568
34,122814.497713995
35,336796.895577843
36,255502.014769392
37,156557.366225971
38,345100.830650575
39,637276.636071902
40,256935.831578605
41,287782.569497223
42,158584.249810416
43,105775.371221685
44,174058.524652555
45,264275.259638118
46,198495.683326151
47,245040.221999169
48,308815.327428524
49,162870.67696978
50,204777.085937599
51,257880.160371441
52,57028.7550155875
53,95607.3670140285
54,473403.129380042
55,280325.957599204
56,48106.8000909525
57,171589.139539584
58,72838.6275311984
59,164667.792718401
60,136822.042158019
61,287382.256896424
62,199320.385591946
63,62079.623315747
64,467104.928138367
65,319826.121634407
66,113322.285648425
67,172949.4098768
68,286238.203798672
69,532896.074983972
70,86244.5937074945
71,575787.208186949
72,356337.697480861
73,720848.946599124
74,351428.258226153
75,114623.552013463
76,168611.466619231
77,234586.519544332
78,577829.041350673
79,198085.858748639
80,284019.235632504
81,139062.798332495
82,684008.732738986
83,483659.087857261
84,108884.06062815
85,565217.824183724
86,106460.619424204
87,62292.7660162667
88,212163.252757082
89,253924.980683438
90,336990.069767788
91,41189.1778479436
92,267470.53824198
93,994614.94059761
94,105366.186521961
95,78994.1555982142
96,86454.1656401359
97,158364.624765328
98,191219.687863237
99,98104.4089678999
100,148558.52385952
101,291862.762729636
102,683400.833521573
103,309892.460500798
104,257171.868805149
105,141685.869496898
106,293755.871503042
107,63090.8706606257
108,147998.985557481
109,1105700.58400451
110,228606.326448681
111,93690.6748668173
112,189309.70077504
113,342401.750816758
114,328366.735933729
115,274420.51526608
116,302512.632466822
117,179874.857542627
118,196347.507306161
119,276026.395042905
120,401612.025277129
121,724143.994297907
122,113801.126442065
