id,district,year,treat,soda
1,"City Hall",2020,0,520.2559
2,"Old Eagleton",2020,0,510.4263
3,"River Park",2020,0,502.9771
4,"Snake Lounge",2020,1,492.7787
5,"The Pit",2020,1,502.708
6,"Wanapoke Quarter",2020,1,518.6183
7,"City Hall",2020,0,497.6064
8,"City Hall",2020,0,505.1655
9,"City Hall",2020,0,481.8799
10,"City Hall",2020,0,489.8488
11,"City Hall",2020,0,510.9537
12,"City Hall",2020,0,513.3265
13,"City Hall",2020,0,496.3931
14,"City Hall",2020,0,507.351
15,"City Hall",2020,0,490.3852
16,"City Hall",2020,0,507.5213
17,"City Hall",2020,0,495.3335
18,"City Hall",2020,0,475.4792
19,"City Hall",2020,0,476.7799
20,"City Hall",2020,0,493.8843
21,"City Hall",2020,0,495.3818
22,"City Hall",2020,0,524.3632
23,"City Hall",2020,0,497.8766
24,"City Hall",2020,0,491.8854
25,"City Hall",2020,0,500.2043
26,"City Hall",2020,0,509.0898
27,"City Hall",2020,0,510.0047
28,"City Hall",2020,0,500.4001
29,"City Hall",2020,0,517.4333
30,"City Hall",2020,0,496.2914
31,"City Hall",2020,0,498.4524
32,"City Hall",2020,0,484.4554
33,"City Hall",2020,0,492.9197
34,"City Hall",2020,0,499.398
35,"City Hall",2020,0,499.2099
36,"City Hall",2020,0,506.0556
37,"City Hall",2020,0,491.3349
38,"City Hall",2020,0,504.3038
39,"City Hall",2020,0,490.8395
40,"City Hall",2020,0,509.2419
41,"City Hall",2020,0,501.3404
42,"City Hall",2020,0,510.2378
43,"City Hall",2020,0,502.0069
44,"City Hall",2020,0,495.7629
45,"City Hall",2020,0,503.1033
46,"City Hall",2020,0,494.8575
47,"City Hall",2020,0,492.5091
48,"City Hall",2020,0,486.4584
49,"City Hall",2020,0,493.4741
50,"City Hall",2020,0,500.3289
51,"City Hall",2020,0,493.8102
52,"City Hall",2020,0,490.4394
53,"City Hall",2020,0,507.1032
54,"City Hall",2020,0,499.8285
55,"City Hall",2020,0,517.9308
56,"City Hall",2020,0,493.5869
57,"City Hall",2020,0,509.1379
58,"City Hall",2020,0,494.3494
59,"City Hall",2020,0,493.7306
60,"City Hall",2020,0,500.3297
61,"City Hall",2020,0,486.883
62,"City Hall",2020,0,500.3214
63,"City Hall",2020,0,487.7216
64,"City Hall",2020,0,493.1759
65,"City Hall",2020,0,510.3271
66,"City Hall",2020,0,498.8931
67,"City Hall",2020,0,492.596
68,"City Hall",2020,0,498.1829
69,"City Hall",2020,0,507.9055
70,"City Hall",2020,0,495.4714
71,"City Hall",2020,0,474.3371
72,"City Hall",2020,0,490.1291
73,"City Hall",2020,0,512.1385
74,"City Hall",2020,0,511.479
75,"City Hall",2020,0,481.541
76,"City Hall",2020,0,502.4666
77,"City Hall",2020,0,499.1503
78,"City Hall",2020,0,498.3796
79,"City Hall",2020,0,504.854
80,"City Hall",2020,0,497.4442
81,"City Hall",2020,0,497.2317
82,"City Hall",2020,0,493.4555
83,"City Hall",2020,0,486.6382
84,"City Hall",2020,0,499.4534
85,"City Hall",2020,0,501.4037
86,"City Hall",2020,0,490.0155
87,"City Hall",2020,0,487.0829
88,"City Hall",2020,0,517.0536
89,"City Hall",2020,0,496.3364
90,"City Hall",2020,0,513.6809
91,"City Hall",2020,0,494.7055
92,"City Hall",2020,0,488.7801
93,"City Hall",2020,0,497.2637
94,"City Hall",2020,0,503.6323
95,"City Hall",2020,0,503.1221
96,"City Hall",2020,0,493.3727
97,"City Hall",2020,0,498.9747
98,"City Hall",2020,0,492.3936
99,"City Hall",2020,0,494.8217
100,"City Hall",2020,0,503.4753
101,"City Hall",2020,0,520.8085
102,"City Hall",2020,0,493.4228
103,"City Hall",2020,0,499.9614
104,"City Hall",2020,0,496.6394
105,"City Hall",2020,0,477.3962
106,"City Hall",2020,0,499.5446
107,"City Hall",2020,0,504.3894
108,"City Hall",2020,0,489.6092
109,"City Hall",2020,0,493.0242
110,"City Hall",2020,0,516.8608
111,"City Hall",2020,0,500.3967
112,"City Hall",2020,0,506.6783
113,"City Hall",2020,0,488.3718
114,"City Hall",2020,0,484.149
115,"City Hall",2020,0,499.0408
116,"City Hall",2020,0,513.844
117,"City Hall",2020,0,501.4714
118,"City Hall",2020,0,485.6483
119,"City Hall",2020,0,516.7354
120,"City Hall",2020,0,511.2272
121,"City Hall",2020,0,493.4695
122,"City Hall",2020,0,497.1479
123,"City Hall",2020,0,498.6293
124,"City Hall",2020,0,512.2838
125,"City Hall",2020,0,514.0803
126,"City Hall",2020,0,487.7174
127,"City Hall",2020,0,502.1377
128,"City Hall",2020,0,509.1582
129,"City Hall",2020,0,495.0114
130,"City Hall",2020,0,506.7408
131,"City Hall",2020,0,501.8568
132,"City Hall",2020,0,506.2556
133,"City Hall",2020,0,493.4451
134,"City Hall",2020,0,497.9042
135,"City Hall",2020,0,492.7583
136,"City Hall",2020,0,511.2234
137,"City Hall",2020,0,504.5684
138,"City Hall",2020,0,486.8054
139,"City Hall",2020,0,508.0445
140,"City Hall",2020,0,508.7175
141,"City Hall",2020,0,495.1385
142,"City Hall",2020,0,500.4187
143,"City Hall",2020,0,510.1638
144,"City Hall",2020,0,501.2524
145,"City Hall",2020,0,490.955
146,"City Hall",2020,0,494.1917
147,"City Hall",2020,0,485.7526
148,"City Hall",2020,0,511.362
149,"City Hall",2020,0,502.9211
150,"City Hall",2020,0,503.0962
151,"City Hall",2020,0,492.9399
152,"City Hall",2020,0,500.5291
153,"City Hall",2020,0,497.024
154,"City Hall",2020,0,497.8349
155,"City Hall",2020,0,512.9981
156,"City Hall",2020,0,501.4187
157,"City Hall",2020,0,515.5062
158,"City Hall",2020,0,502.5156
159,"City Hall",2020,0,505.2192
160,"City Hall",2020,0,499.2957
161,"City Hall",2020,0,504.6823
162,"City Hall",2020,0,511.3578
163,"City Hall",2020,0,494.8768
164,"City Hall",2020,0,512.3041
165,"City Hall",2020,0,488.6267
166,"City Hall",2020,0,497.2562
